slug,作品,年份／媒介,最高明确度,女女关系位置,恋爱位置,适合的查询,男性恋爱线,Bangumi 条目,Bangumi 维基百合,Bangumi 百合标签比例,Anime-Planet GL,AniList Yuri 相关性,MyAnimeList Girls Love
shoujo_kageki_revue_starlight_tv_2018,少女☆歌剧 Revue Starlight,2018 TV,潜在恋爱,主线,主线,未确认、主线,无,https://bangumi.tv/subject/214265,命中,0.13175314969036941,未命中,79,未命中
lucky_star_ova_2008,幸运星 OVA,2008 OVA,明确欲望,主线,局部,欲望、未确认、主线,无,https://bangumi.tv/subject/13557,未命中,0.004532163742690058,未命中,0,未命中
maria_sama_ga_miteru_ova_2006,圣母在上 第3季,2006 OVA,明确欲望,主线,主线,欲望、未确认、主线、官方恋爱,副线,https://bangumi.tv/subject/4216,命中,0.1600877192982456,命中,80,命中
tamayura_sotsugyou_shashin_theatrical_ova_2015,玉响～毕业写真～,2015 剧场 OVA,非恋爱,主线,缺席,主线,副线,https://bangumi.tv/subject/109869,命中,0.03457627118644068,未命中,0,未命中
hakumei_to_mikochi_tv_2018,妖精森林的小不点,2018 TV,非恋爱,主线,缺席,主线,副线,https://bangumi.tv/subject/221726,未命中,0.029219143576826197,未命中,0,未命中
look_back_movie_2024,蓦然回首,2024 剧场动画,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/480441,未命中,0.002599540747801222,未命中,48,未命中
non_non_biyori_nonstop_oad_2022,悠哉日常大王 Nonstop OAD,2022 OVA,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/343176,命中,0.027578599007170437,未命中,0,未命中
yagate_kimi_ni_naru_tv_2018,终将成为你,2018 TV,明确交往,主线,主线,交往、欲望、未确认、主线、官方字面、官方恋爱,副线,https://bangumi.tv/subject/243981,命中,0.16873856721544034,命中,98,命中
zombieland_saga_revenge_tv_2021,佐贺偶像是传奇 复仇,2021 TV,潜在恋爱,主线,重要副线,未确认、主线,副线,https://bangumi.tv/subject/287488,未命中,0.013352215253894396,未命中,0,未命中
girls_und_panzer_saishuushou_4_ova_2023,少女与战车 最终章 第4话,2023 剧场 OVA,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/208827,命中,0.04924668315718462,未命中,0,未命中
machikado_mazoku_tv_2022,街角魔族 2丁目,2022 TV,潜在恋爱,主线,主线,未确认、主线,无,https://bangumi.tv/subject/313852,命中,0.12972802356778368,未命中,50,未命中
zombieland_saga_tv_2018,佐贺偶像是传奇,2018 TV,非恋爱,主线,缺席,主线,副线,https://bangumi.tv/subject/252655,未命中,0.003118833938005219,未命中,0,未命中
mahou_shoujo_lyrical_nanoha_movie_2nd_as_2012,魔法少女奈叶 The MOVIE 2nd A's,2012 剧场动画,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/35679,命中,0.08373879641485275,未命中,73,未命中
serial_experiments_lain_tv_1998,玲音,1998 TV,非恋爱,重要副线,缺席,,副线,https://bangumi.tv/subject/2582,未命中,0.009152489787476084,未命中,40,未命中
hidamari_sketch_honeycomb_tv_2012,向阳素描×蜂窝,2012 TV,潜在恋爱,主线,重要副线,未确认、主线,无,https://bangumi.tv/subject/37819,命中,0.07989228007181329,未命中,10,未命中
go_princess_precure_tv_2015,Go! Princess 光之美少女,2015 TV,潜在恋爱,主线,局部,未确认、主线,副线,https://bangumi.tv/subject/119279,未命中,0.02826310380267215,未命中,0,未命中
maria_sama_ga_miteru_tv_2009,圣母在上 第4季,2009 TV,明确欲望,主线,主线,欲望、未确认、主线、官方恋爱,副线,https://bangumi.tv/subject/1321,命中,0.14893617021276595,命中,75,命中
ichigo_mashimaro_tv_2005,草莓棉花糖,2005 TV,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/284,命中,0.044675324675324674,未命中,0,未命中
ray_chou_kaguya_hime_version_mv_2026,《ray 超かぐや姫！Version》MV,2026 音乐动画,潜在恋爱,主线,主线,未确认、主线,无,https://bangumi.tv/subject/623179,命中,0.12407862407862408,无可对应页面,85,未命中
girls_und_panzer_saishuushou_1_ova_2018,少女与战车 最终章 第1话,2018 剧场 OVA,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/191302,命中,0.057103064066852366,未命中,0,未命中
maria_sama_ga_miteru_haru_tv_2004,圣母在上 春,2004 TV,明确欲望,主线,主线,欲望、未确认、主线、官方恋爱,副线,https://bangumi.tv/subject/4215,命中,0.1682210708117444,命中,77,命中
yuru_yuri_second_season_tv_2012,摇曳百合♪♪,2012 TV,明确欲望,主线,重要副线,欲望、未确认、主线、官方字面,无,https://bangumi.tv/subject/28900,命中,0.11913528922674901,命中,84,命中
girls_und_panzer_saishuushou_2_ova_2020,少女与战车 最终章 第2话,2020 剧场 OVA,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/208825,命中,0.05275577279622451,未命中,0,未命中
non_non_biyori_repeat_oad_2016,悠哉日常大王 Repeat OAD,2016 OVA,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/165738,命中,0.039639359552308406,未命中,0,未命中
versailles_no_bara_tv_1979,凡尔赛玫瑰,1979 TV,明确欲望,重要副线,重要副线,欲望、未确认,主导,https://bangumi.tv/subject/12579,命中,0.055984555984555984,未命中,0,未命中
kemono_friends_tv_2017,兽娘动物园,2017 TV,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/176478,命中,0.05457812383020139,未命中,20,未命中
yama_no_susume_third_season_tv_2018,向山进发 第三季,2018 TV,潜在恋爱,主线,重要副线,未确认、主线、官方恋爱,无,https://bangumi.tv/subject/216310,命中,0.12070120589548906,未命中,0,未命中
hidamari_sketch_x365_tv_2008,向阳素描×365,2008 TV,潜在恋爱,主线,重要副线,未确认、主线,无,https://bangumi.tv/subject/330,命中,0.0789272030651341,未命中,20,未命中
maria_sama_ga_miteru_tv_2004,圣母在上,2004 TV,明确欲望,主线,主线,欲望、未确认、主线、官方恋爱,副线,https://bangumi.tv/subject/4214,命中,0.15326199516741457,命中,77,命中
mahou_shoujo_lyrical_nanoha_as_tv_2005,魔法少女奈叶A's,2005 TV,非恋爱,主线,缺席,主线,副线,https://bangumi.tv/subject/1263,命中,0.08884627676573985,未命中,56,未命中
non_non_biyori_okinawa_oad_2014,悠哉日常大王 OAD,2014 OVA,潜在恋爱,主线,局部,未确认、主线,无,https://bangumi.tv/subject/86895,命中,0.0329512893982808,未命中,0,未命中
hibike_euphonium_kitauji_movie_2016,剧场版 吹响吧！上低音号～欢迎来到北宇治高中吹奏乐部～,2016 剧场动画,潜在恋爱,主线,主线,未确认、主线,副线,https://bangumi.tv/subject/152092,未命中,0.026102358534539013,未命中,0,未命中
hibi_wa_sugiredo_meshi_umashi_tv_2025,时光流逝，饭菜依旧美味,2025 TV,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/531159,未命中,0.026499302649930265,未命中,0,未命中
yuru_yuri_tv_2011,摇曳百合,2011 TV,明确欲望,主线,重要副线,欲望、未确认、主线、官方字面,无,https://bangumi.tv/subject/14588,命中,0.1307685236256665,命中,83,命中
little_witch_academia_tv_2017,小魔女学园,2017 TV,非恋爱,主线,缺席,主线,副线,https://bangumi.tv/subject/185792,命中,0.053903684786574244,未命中,0,未命中
hidamari_sketch_hoshimittsu_tv_2010,向阳素描×☆☆☆,2010 TV,潜在恋爱,主线,局部,未确认、主线,无,https://bangumi.tv/subject/3622,命中,0.0845746023731381,未命中,60,未命中
ichigo_mashimaro_ova_2007,草莓棉花糖 OVA 第1期,2007 剧场 OVA,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/693,命中,0.04577564283695959,未命中,10,未命中
awajima_hyakkei_tv_2026,淡岛百景,2026 TV,明确欲望,主线,重要副线,欲望、未确认、主线,并行,https://bangumi.tv/subject/493724,命中,0.07542643923240938,未命中,54,未命中
ichigo_mashimaro_encore_ova_2009,草莓棉花糖 OVA 第2期,2009 剧场 OVA,潜在恋爱,主线,重要副线,未确认、主线,无,https://bangumi.tv/subject/918,命中,0.042509527997654645,未命中,0,未命中
girls_und_panzer_tv_2012,少女与战车,2012 TV,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/40310,命中,0.0876601855943438,未命中,32,未命中
yuru_yuri_san_hai_tv_2015,摇曳百合 3☆High!,2015 TV,明确欲望,主线,重要副线,欲望、未确认、主线、官方字面,无,https://bangumi.tv/subject/127573,命中,0.13318880196059948,命中,90,命中
girls_und_panzer_saishuushou_3_ova_2021,少女与战车 最终章 第3话,2021 剧场 OVA,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/208826,命中,0.046648455557890316,未命中,0,未命中
girls_band_cry_tv_2024,少女乐队的呐喊,2024 TV,明确欲望,主线,主线,欲望、未确认、主线,无,https://bangumi.tv/subject/431767,未命中,0.054410987849973586,未命中,67,未命中
haibane_renmei_tv_2002,灰羽联盟,2002 TV,非恋爱,主线,缺席,主线、官方恋爱,副线,https://bangumi.tv/subject/893,未命中,0.025898305084745762,未命中,0,未命中
rwby_volume_1_3_the_beginning_tv_2017,RWBY Volume 1-3: The Beginning,2017 TV,潜在恋爱,主线,重要副线,未确认、主线,并行,https://bangumi.tv/subject/212008,未命中,0.03305455993628036,无可对应页面,,无可对应页面
hidamari_sketch_x365_special_ova_2009,向阳素描×365 特别篇,2009 OVA,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/2662,命中,0.0854417254251348,未命中,0,未命中
asobi_asobase_tv_2018,来玩游戏吧,2018 TV,明确欲望,主线,局部,欲望、未确认、主线,副线,https://bangumi.tv/subject/236020,未命中,0.024144317168530077,未命中,0,未命中
gochuumon_wa_usagi_desu_ka_bloom_tv_2020,请问您今天要来点兔子吗？BLOOM,2020 TV,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/260770,未命中,0.09994755375739867,未命中,0,未命中
hidamari_sketch_hoshimittsu_special_ova_2010,向阳素描×☆☆☆ 特别篇,2010 OVA,潜在恋爱,主线,局部,未确认、主线,无,https://bangumi.tv/subject/9639,命中,0.0782934833567745,未命中,0,未命中
yama_no_susume_second_season_tv_2014,向山进发 第二季,2014 TV,潜在恋爱,主线,重要副线,未确认、主线、官方恋爱,无,https://bangumi.tv/subject/86670,未命中,0.12128738487012315,未命中,0,未命中
onii_chan_wa_oshimai_tv_2023,别当欧尼酱了！,2023 TV,非恋爱,重要副线,缺席,,无,https://bangumi.tv/subject/378862,命中,0.08142190689085431,未命中,0,未命中
mahou_shoujo_lyrical_nanoha_movie_1st_2010,魔法少女奈叶 The MOVIE 1st,2010 剧场动画,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/3485,命中,0.07979924717691343,未命中,79,未命中
toaru_kagaku_no_railgun_t_tv_2020,某科学的超电磁炮T,2020 TV,明确欲望,主线,重要副线,欲望、未确认、主线,副线,https://bangumi.tv/subject/262940,未命中,0.034164649759724997,未命中,0,未命中
little_witch_academia_movie_2013,小魔女学园,2013 剧场动画,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/54675,命中,0.01282278033250796,未命中,0,未命中
yama_no_susume_omoide_present_ova_2018,向山进发 回忆的礼物,2018 OVA,潜在恋爱,主线,重要副线,未确认、主线,副线,https://bangumi.tv/subject/216311,命中,0.10839991362556683,未命中,0,未命中
joshikousei_no_mudazukai_tv_2019,女高中生的无所事事,2019 TV,明确欲望,主线,局部,欲望、未确认、主线,副线,https://bangumi.tv/subject/265708,未命中,0.02311484684393437,未命中,0,未命中
toaru_kagaku_no_railgun_s_tv_2013,某科学的超电磁炮S,2013 TV,明确欲望,主线,重要副线,欲望、未确认、主线,副线,https://bangumi.tv/subject/51928,未命中,0.05112065898579678,未命中,0,未命中
simoun_tv_2006,西蒙,2006 TV,明确欲望,主线,主线,欲望、未确认、主线、官方字面、官方恋爱,副线,https://bangumi.tv/subject/3755,命中,0.13657325292656972,命中,88,命中
ga_rei_zero_tv_2008,食灵-零-,2008 TV,非恋爱,主线,缺席,主线,副线,https://bangumi.tv/subject/885,命中,0.11741536153052612,未命中,0,未命中
akebi_chan_no_sailor_fuku_tv_2022,明日同学的水手服,2022 TV,潜在恋爱,主线,主线,未确认、主线,无,https://bangumi.tv/subject/331480,未命中,0.09028500104014978,未命中,66,未命中
oniisama_e_tv_1991,青兰圆舞曲,1991 TV,明确欲望,主线,主线,欲望、未确认、主线、官方恋爱,并行,https://bangumi.tv/subject/7408,命中,0.12087026591458501,未命中,79,命中
hidamari_sketch_x_sp_ova_2011,向阳素描×SP,2011 OVA,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/22241,命中,0.07317073170731707,未命中,20,未命中
rwby_volume_2_web_2014,红白黑黄 第二季,2014 WEB,潜在恋爱,主线,重要副线,未确认、主线,并行,https://bangumi.tv/subject/95445,命中,0.032750608541712765,无可对应页面,,无可对应页面
kobayashi_san_chi_no_maid_dragon_s_tv_2021,小林家的龙女仆S,2021 TV,明确欲望,主线,主线,欲望、未确认、主线、官方恋爱,副线,https://bangumi.tv/subject/274234,命中,0.06020246757355267,命中,69,未命中
hidamari_sketch_tv_2007,向阳素描,2007 TV,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/896,命中,0.07500373524577918,未命中,44,未命中
little_witch_academia_movie_2015,小魔女学园 魔法游行,2015 剧场动画,非恋爱,主线,缺席,主线,无,https://bangumi.tv/subject/124646,命中,0.021908471275559883,未命中,0,未命中
